remark: lane_seg_hls/lane_seg_support.cpp:56:30: Loop 'VITIS_LOOP_56_6' is marked as complete unroll implied by the pipeline pragma
remark: lane_seg_hls/lane_seg_support.cpp:60:34: Loop 'VITIS_LOOP_60_7' is marked as complete unroll implied by the pipeline pragma
remark: lane_seg_hls/lane_seg_support.cpp:61:38: Loop 'VITIS_LOOP_61_8' is marked as complete unroll implied by the pipeline pragma
remark: lane_seg_hls/lane_seg_support.cpp:62:42: Loop 'VITIS_LOOP_62_9' is marked as complete unroll implied by the pipeline pragma
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_60_7' (lane_seg_hls/lane_seg_support.cpp:60:34) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_60_7' (lane_seg_hls/lane_seg_support.cpp:60:34) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_60_7' (lane_seg_hls/lane_seg_support.cpp:60:34) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_60_7' (lane_seg_hls/lane_seg_support.cpp:60:34) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_61_8' (lane_seg_hls/lane_seg_support.cpp:61:38) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: lane_seg_hls/lane_seg_support.cpp:23:0: Unrolling loop 'VITIS_LOOP_62_9' (lane_seg_hls/lane_seg_support.cpp:62:42) in function 'encoder0_c1' completely with a factor of 3
remark: C:\Users\Baron\Desktop\EE_297_Repo\EE_297\ML_PATH_EE297\EE297_env\01_main\03_lanes_code\weights\encoder_conv0_b.h:7:0: Applying array_partition to 'conv0_b': Complete partitioning on dimension 1.
remark: C:\Users\Baron\Desktop\EE_297_Repo\EE_297\ML_PATH_EE297\EE297_env\01_main\03_lanes_code\weights\encoder_conv0_w.h:7:0: Applying array_partition to 'conv0_w': Complete partitioning on dimension 1. Complete partitioning on dimension 2. Complete partitioning on dimension 3.
remark: <unknown>:0:0: Aggregating maxi variable 'out0' with compact=none mode in 16-bits
remark: lane_seg_hls/lane_seg_support.cpp:36:22: Sequential read of length 150528 has been inferred _XLX_SEP_ input1seqinput gmem_in VITIS_LOOP_36_1 lane_seg_hls/lane_seg_support.cpp:36:22 encoder0_c1(float (*) [224][3], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [112][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [3][3][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0>*)  _XLX_SEP_ loadreadfor.inc.load.5
remark: lane_seg_hls/lane_seg_support.cpp:50:22: Sequential write of length 401408 has been inferred _XLX_SEP_ output2seqoutput gmem_out VITIS_LOOP_50_4 lane_seg_hls/lane_seg_support.cpp:50:22 encoder0_c1(float (*) [224][3], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [112][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [3][3][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0>*)  _XLX_SEP_ storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit12977.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit14246.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit15515.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit16784.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit18053.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit19322.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit20591.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit21860.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit23129.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit24398.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit25667.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit26936.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit28205.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit29474.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit30743.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit32012.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit33281.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit34550.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit35819.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit37088.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit38357.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit39626.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit40895.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit42164.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit43433.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit44702.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit45971.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit47240.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit48509.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit49778.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit51047.store.29storewrite_ZN13ap_fixed_baseILi16ELi4ELb1EL9ap_q_mode5EL9ap_o_mode3ELi0EEC2Ed.exit52316.store.61
remark: lane_seg_hls/lane_seg_support.cpp:50:22: Could not widen since type i16 size is greater than or equal to the max_widen_bitwidth threshold of 0 _XLX_SEP_ callwriteoutput2seqoutput gmem_out VITIS_LOOP_51_5 lane_seg_hls/lane_seg_support.cpp:51:26 encoder0_c1(float (*) [224][3], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [112][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [3][3][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0>*) 
remark: lane_seg_hls/lane_seg_support.cpp:36:22: Could not widen since type float size is greater than or equal to the max_widen_bitwidth threshold of 0 _XLX_SEP_ callreadinput1seqinput gmem_in VITIS_LOOP_38_3 lane_seg_hls/lane_seg_support.cpp:38:30 encoder0_c1(float (*) [224][3], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [112][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [3][3][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0>*) 
remark: lane_seg_hls/lane_seg_support.cpp:36:22: Multiple burst reads of length 150528 and bit width 32 has been inferred. These burst requests might be further partitioned into multiple requests during RTL generation, based on max_read_burst_length or max_write_burst_length settings. _XLX_SEP_ seq gmem_in VITIS_LOOP_36_1 lane_seg_hls/lane_seg_support.cpp:36:22 encoder0_c1(float (*) [224][3], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [112][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [3][3][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0>*) (.1) 
remark: lane_seg_hls/lane_seg_support.cpp:36:22: Multiple burst reads of length 150528 and bit width 32 in loop 'VITIS_LOOP_36_1'(lane_seg_hls/lane_seg_support.cpp:36:22) has been inferred on bundle 'gmem_in'. These burst requests might be further partitioned into multiple requests during RTL generation, based on max_read_burst_length or max_write_burst_length settings.
remark: lane_seg_hls/lane_seg_support.cpp:50:22: Multiple burst writes of length 401408 and bit width 16 has been inferred. These burst requests might be further partitioned into multiple requests during RTL generation, based on max_read_burst_length or max_write_burst_length settings. _XLX_SEP_ seq1 gmem_out VITIS_LOOP_50_4 lane_seg_hls/lane_seg_support.cpp:50:22 encoder0_c1(float (*) [224][3], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [112][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0> (*) [3][3][32], ap_fixed<16, 4, (ap_q_mode)5, (ap_o_mode)3, 0>*) (.1) 
remark: lane_seg_hls/lane_seg_support.cpp:50:22: Multiple burst writes of length 401408 and bit width 16 in loop 'VITIS_LOOP_50_4'(lane_seg_hls/lane_seg_support.cpp:50:22) has been inferred on bundle 'gmem_out'. These burst requests might be further partitioned into multiple requests during RTL generation, based on max_read_burst_length or max_write_burst_length settings.
===-------------------------------------------------------------------------===
                         Miscellaneous Ungrouped Timers
===-------------------------------------------------------------------------===

   ---User Time---   --System Time--   --User+System--   ---Wall Time---  --- Name ---
  43.7188 (100.0%)   0.3438 (100.0%)  44.0625 (100.0%)  44.3291 (100.0%)  Code Generation Time
  43.7188 (100.0%)   0.3438 (100.0%)  44.0625 (100.0%)  44.3291 (100.0%)  Total

===-------------------------------------------------------------------------===
                      ... Pass execution timing report ...
===-------------------------------------------------------------------------===
  Total Execution Time: 44.5313 seconds (44.6637 wall clock)

   ---User Time---   --System Time--   --User+System--   ---Wall Time---  --- Name ---
  11.1094 ( 25.1%)   0.0000 (  0.0%)  11.1094 ( 24.9%)  11.1282 ( 24.9%)  Early GVN Hoisting of Expressions
   3.6406 (  8.2%)   0.0000 (  0.0%)   3.6406 (  8.2%)   3.6380 (  8.1%)  Automatically infer occurrence information
   2.5469 (  5.8%)   0.0000 (  0.0%)   2.5469 (  5.7%)   2.5554 (  5.7%)  Loop Invariant Code Motion
   1.5781 (  3.6%)   0.0156 (  4.5%)   1.5938 (  3.6%)   1.6104 (  3.6%)  Automatic inliner in reflow
   1.4375 (  3.3%)   0.0156 (  4.5%)   1.4531 (  3.3%)   1.4522 (  3.3%)  Reflow pragma unroll loops
   0.7188 (  1.6%)   0.0156 (  4.5%)   0.7344 (  1.6%)   0.7349 (  1.6%)  Early GVN Hoisting of Expressions
   0.6875 (  1.6%)   0.0000 (  0.0%)   0.6875 (  1.5%)   0.6842 (  1.5%)  Early GVN Hoisting of Expressions
   0.4375 (  1.0%)   0.0000 (  0.0%)   0.4375 (  1.0%)   0.4373 (  1.0%)  Jump Threading
   0.2969 (  0.7%)   0.0156 (  4.5%)   0.3125 (  0.7%)   0.3067 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.3030 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.3011 (  0.7%)  Jump Threading
   0.3125 (  0.7%)   0.0000 (  0.0%)   0.3125 (  0.7%)   0.3006 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2996 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2656 (  0.6%)   0.0313 (  9.1%)   0.2969 (  0.7%)   0.2996 (  0.7%)  Infer nuw/nsw flags for instructions
   0.3125 (  0.7%)   0.0000 (  0.0%)   0.3125 (  0.7%)   0.2990 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2813 (  0.6%)   0.0156 (  4.5%)   0.2969 (  0.7%)   0.2984 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2982 (  0.7%)  Jump Threading
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2982 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2975 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2974 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2968 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2967 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2813 (  0.6%)   0.0000 (  0.0%)   0.2813 (  0.6%)   0.2964 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2958 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2969 (  0.7%)   0.0000 (  0.0%)   0.2969 (  0.7%)   0.2951 (  0.7%)  Infer nuw/nsw flags for instructions
   0.2813 (  0.6%)   0.0000 (  0.0%)   0.2813 (  0.6%)   0.2778 (  0.6%)  Global Value Numbering
   0.2656 (  0.6%)   0.0000 (  0.0%)   0.2656 (  0.6%)   0.2756 (  0.6%)  Infer nuw/nsw flags for instructions
   0.2813 (  0.6%)   0.0000 (  0.0%)   0.2813 (  0.6%)   0.2723 (  0.6%)  Infer nuw/nsw flags for instructions
   0.2656 (  0.6%)   0.0000 (  0.0%)   0.2656 (  0.6%)   0.2711 (  0.6%)  Infer nuw/nsw flags for instructions
   0.2813 (  0.6%)   0.0000 (  0.0%)   0.2813 (  0.6%)   0.2682 (  0.6%)  Infer nuw/nsw flags for instructions
   0.2656 (  0.6%)   0.0000 (  0.0%)   0.2656 (  0.6%)   0.2659 (  0.6%)  Infer nuw/nsw flags for instructions
   0.2500 (  0.6%)   0.0000 (  0.0%)   0.2500 (  0.6%)   0.2599 (  0.6%)  Infer nuw/nsw flags for instructions
   0.2344 (  0.5%)   0.0156 (  4.5%)   0.2500 (  0.6%)   0.2575 (  0.6%)  Early GVN Hoisting of Expressions
   0.2500 (  0.6%)   0.0000 (  0.0%)   0.2500 (  0.6%)   0.2534 (  0.6%)  Early GVN Hoisting of Expressions
   0.2500 (  0.6%)   0.0000 (  0.0%)   0.2500 (  0.6%)   0.2534 (  0.6%)  Early GVN Hoisting of Expressions
   0.2344 (  0.5%)   0.0156 (  4.5%)   0.2500 (  0.6%)   0.2502 (  0.6%)  Early GVN Hoisting of Expressions
   0.2500 (  0.6%)   0.0000 (  0.0%)   0.2500 (  0.6%)   0.2465 (  0.6%)  Early GVN Hoisting of Expressions
   0.2344 (  0.5%)   0.0000 (  0.0%)   0.2344 (  0.5%)   0.2443 (  0.5%)  Early GVN Hoisting of Expressions
   0.2500 (  0.6%)   0.0000 (  0.0%)   0.2500 (  0.6%)   0.2420 (  0.5%)  Early GVN Hoisting of Expressions
   0.1875 (  0.4%)   0.0000 (  0.0%)   0.1875 (  0.4%)   0.1972 (  0.4%)  Generate HLS compatible IR
